¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.580027
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.066544
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.621593
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.508393
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02062
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59336
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16476
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82559
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56506
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28187
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14067
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.24908
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.96693
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.95333
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.94285
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.93549
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.17119
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.333829
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.508145
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.695396
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.897005
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.114663
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.916884
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.855117
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.795746
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.738673
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.018882
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.129742
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.557008
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.040416
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.390675
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.543283
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 8.885167
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58085
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15457
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80624
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54979
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.26477
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.10017
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18992
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56163
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.90793
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.89752
(397.03, 13.82, 246.95) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 15.89022
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.167087
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.329419
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.503445
(397.03, 13.82, 246.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.690349
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.425516
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.369391
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.315443
ò(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.263582
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 5.42864
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.392748
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 6.73153
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.109691
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.534427
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.70042
(397.03, 13.82, 246.95) (386.95, 7.17, 266.10) (0.46, 0.49, 3.98) Tools 7.826147
