¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970813
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.251508
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557285
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891551
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28604
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.724631
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.226561
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.819526
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49615
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26957
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24863
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4198
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64138
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60209
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35429
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044916
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250237
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471296
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709923
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968243
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.248679
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554229
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899367
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295383
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735007
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233395
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.827304
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50504
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28703
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26489
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43934
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68117
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.77428
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.52106
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.043177
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.248351
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.469253
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707727
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.965825
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246084
(336.32, 7.21, 330.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551385
