¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.651917
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.646596
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.643607
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.642844
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.644609
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.648939
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.578179
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788239
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.015621
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.260532
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528416
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823534
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.149484
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.515915
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.930251
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.391185
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.893828
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.457478
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1046
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.744325
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.614079
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.574868
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.555087
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.537214
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.521368
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.507446
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.495468
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.485459
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.477308
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.47109
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.466789
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.464673
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.498514
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.628383
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.582596
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.793018
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.021022
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.266409
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.534798
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830536
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.156799
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523967
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.939246
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.401607
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.905624
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.471195
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12031
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.656616
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.557755
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.52319
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.502058
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.482892
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.465655
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.450376
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.43701
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.425575
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.415991
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.408316
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.402485
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.398973
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.426208
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.516185
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.587073
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.797864
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.026404
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272377
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.541271
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.837636
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.164203
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.532091
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.948324
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.412146
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.917601
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.485119
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13624
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.653924
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.555813
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.521015
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.498708
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.478399
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.46001
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.443575
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.429035
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.416454
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.405771
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.396924
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.39
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.385529
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.41165
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.496752
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59161
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.802775
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.031735
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.278435
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54783
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.844834
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171693
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.540288
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957483
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.422799
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.929752
(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.499243
­(418.49, 14.76, 248.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15242
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.732291
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.607232
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.567583
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.543699
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.521816
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.501982
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.484075
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.468119
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.454146
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.442057
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.431878
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.423618
(418.49, 14.76, 248.42) (395.65, 8.16, 250.76) (0.81, 2.16, 0.81) Human 9.418047
