¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ (381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.657663
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.842199
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.045878
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.265941
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.500526
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.726197
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.002419
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.312925
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.6704
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.077184
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.53837
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.065534
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.319444
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11566
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16616
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34975
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72308
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5282
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.061782
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.198364
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.345327
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.503861
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.675348
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.864073
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.067336
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.289402
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.521387
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.749789
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.026712
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.33988
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.6952
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.105176
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.570208
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.644652
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.381654
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16931
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22256
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40451
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79297
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45115
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.075086
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.21265
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.360705
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.520461
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.693316
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.884088
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.089147
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.313261
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.542788
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.7739
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.051486
á (381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.367382
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.720491
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.133738
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.602714
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.698351
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445065
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22425
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26844
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46068
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89444
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37589
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.088584
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.227148
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.376316
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.537315
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.712664
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.904423
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.111317
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.33752
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.564731
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.798533
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.076745
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.395432
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.750786
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.162878
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.635894
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.75307
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507769
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28047
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31543
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54337
(381.16, 10.54, 321.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99858
