¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡ (391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.437017
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.468036
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.486532
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.973713
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.916748
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.862011
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.809406
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.798384
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.811014
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.836777
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.86377
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.892026
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.921578
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.383678
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.374228
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.395731
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.423196
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.452012
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.48221
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.12073
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.10731
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09859
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09458
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.09527
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.465954
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.740098
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.900881
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.846425
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.806721
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.798389
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.822713
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.848646
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.875815
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.904252
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.93399
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.403167
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.414241
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.440938
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.468971
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.498373
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.529176
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.2362
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.22281
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.21416
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.21024
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 24.21103
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44548
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717716
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.015396
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.524838
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.80762
‡ (391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.810357
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.835261
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.861376
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.888733
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.917364
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.434424
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.434669
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.46062
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.487894
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.516523
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.546539
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425062
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.695443
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990956
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.523223
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.444381
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.677462
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.848665
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.874976
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.902535
(391.37, 13.71, 251.39) (376.16, 8.72, 264.70) (2.07, 2.22, 3.94) Tools 4.931374
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.457019
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.482243
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.50878
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.53666
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.565914
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.83239
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.404726
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67323
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966681
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.523088
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.734155
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.672633
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.613499
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.556659
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.504088
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.491224
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.505813
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.531634
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.558787
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.587302
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11642
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.69939
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384481
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.651115
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.606555
(391.37, 13.71, 251.39) (375.14, 8.42, 265.46) (1.39, 2.22, 3.99) Tools 6.524433
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.730514
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.669055
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.609982
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.5532
÷(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.52856
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.531336
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.556461
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.582909
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.610708
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.63989
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08329
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56497
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.84625
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.36425
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629096
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.918352
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.792048
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.728142
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.666725
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.607691
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.568405
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.558821
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.58327
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.609032
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.636137
(391.37, 13.71, 251.39) (376.11, 8.64, 266.13) (1.02, 3.01, 3.58) Tools 5.664615
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46541
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05898
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.484
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.46612
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.45206
(391.37, 13.71, 251.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.44182
