¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.146701
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.13216
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.119214
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.107932
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.098229
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.090123
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.083616
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.091645
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.146496
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.322826
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 19.25048
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353857
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611106
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.8915
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198168
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534939
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906375
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318056
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.776763
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.290934
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.427561
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.380578
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.357554
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.336219
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.316638
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.298725
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.28259
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.26807
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.255215
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.243987
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.234442
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.226465
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.220132
(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.236366
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 18.33339
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 18.32684
(331.57, 7.41, 368.64) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 18.12469
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.353351
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.610562
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890875
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19748
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.534225
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905587
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317173
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.775778
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.28982
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.869889
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50436
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19636
(331.57, 7.41, 368.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98845
