¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
±(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69745
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93528
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43564
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57196
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.17205
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.216084
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458116
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.715556
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993353
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296655
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.628987
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.994664
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.398878
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.833226
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315082
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.852749
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45198
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10534
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84834
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68369
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66297
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88903
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38771
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.48769
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.08304
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.214345
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.456175
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.71407
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991774
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.294901
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.627061
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.992549
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396534
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.831697
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311504
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.845592
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.44554
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09806
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83998
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.67635
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62911
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84355
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3406
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42698
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.9943
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.212581
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.454277
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712658
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.990234
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293222
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.625212
¯(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.990484
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.394306
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.828476
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.305344
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.838705
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43907
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0911
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83206
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66959
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60396
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79882
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.30382
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.37259
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.11311
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.210902
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.452421
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.711322
(435.72, 13.84, 289.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.988789
