¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.490067
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.782124
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.103081
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.456118
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.847053
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.28017
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.768627
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.316324
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.943713
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65861
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48841
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.43633
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.55871
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92005
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.59554
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.87931
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.61403
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.39158
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.2949
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.953752
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.199062
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464802
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.754413
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.072563
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.422312
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.809472
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.23822
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.721665
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.263227
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.8834
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58956
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40813
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.3412
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44492
(377.90, 7.35, 344.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.78104
