¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.963476
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.952279
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.94191
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.951705
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.233802
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.224088
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.036626
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.021228
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.007261
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.737592
(422.95, 14.77, 252.91) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 9.343204
(422.95, 14.77, 252.91) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 23.7859
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.144994
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.124601
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.105206
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.086783
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.069316
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.052784
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.03717
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.022456
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 4.008629
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.995672
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.983573
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.972319
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.961898
(422.95, 14.77, 252.91) (404.27, 7.71, 251.56) (1.94, 1.48, 1.95) Tools 3.960505
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.151494
(422.95, 14.77, 252.91) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.141917
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.088892
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.073352
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.059253
(422.95, 14.77, 252.91) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 7.769433
(422.95, 14.77, 252.91) (401.28, 7.66, 255.74) (1.57, 1.43, 1.53) Tools 9.600887
(422.95, 14.77, 252.91) (393.28, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 24.25981
