°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.82371
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.26193
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.753962
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.309314
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.127786
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.106205
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.086131
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.069083
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.053744
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.039841
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.027359
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.016287
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.006615
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.000506
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.00461
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.010086
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.016939
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.025177
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.034807
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.04584
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.900998
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.875787
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.956431
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.199481
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464841
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.755844
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.076177
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.429918
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.822495
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.26057
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.752135
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.306449
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.157554
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.135041
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.115318
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.098449
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.083036
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.069066
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.056524
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.045397
(422.65, 14.73, 249.45) (400.54, 8.91, 246.85) (8.50, 2.93, 5.01) Truck 7.035675
