¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
È(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.967185
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.488787
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06843
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72788
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47898
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06516
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1723
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41338
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.8705
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52859
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.49249
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71442
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357055
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.539446
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.742047
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.961236
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.199081
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444612
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.717911
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.016843
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.340075
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.702133
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.103426
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.533035
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.00728
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.53226
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1175
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78226
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24851
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1366
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24628
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50103
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.95726
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.61518
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.59372
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81054
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.369667
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.553777
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.75752
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.977992
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.21728
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465083
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.740246
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.041305
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.367879
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732852
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13754
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.569646
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048194
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.576674
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16767
é(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5062
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32045
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21949
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32221
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.59109
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04675
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.70706
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.70086
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91114
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.382493
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.568299
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.773204
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.994977
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.235736
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485878
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.76294
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.066167
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.396146
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.764099
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.172256
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.606983
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.089937
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.622054
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8494
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57157
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39414
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30454
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4002
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68165
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13902
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.81568
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81198
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.01632
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.395527
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58301
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.789095
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.012195
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.254446
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.506996
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.785993
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.091431
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.424879
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795872
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.207574
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.645048
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696651
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26572
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90799
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6384
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46966
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39172
÷(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4802
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76256
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.23413
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92787
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92711
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.93459
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.408772
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.597912
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.805195
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02964
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.27341
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.528436
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809407
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117099
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454078
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.828173
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.281384
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.231226
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.743741
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31861
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96786
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70675
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.547
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.48115
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.55429
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84577
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33211
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.0437
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.04638
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81546
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.42223
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.613003
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.821503
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.047317
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.29263
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.550202
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.833183
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.143173
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.483749
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.371059
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.801333
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27423
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.791783
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37263
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02906
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.77659
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62623
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5702
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64488
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93128
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.43307
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1633
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.09401
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.88758
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34612
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.435896
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.628282
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.838019
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.065221
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312104
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572293
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857322
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.169654
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.000216
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.402365
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.836217
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.315714
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84074
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42777
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09153
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84804
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70737
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65353
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74053
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.01919
(434.47, 15.16, 325.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.53702
