¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à (382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.997151
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.332197
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.735294
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.217682
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.638259
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41743
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37508
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.56402
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02865
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.84869
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34274
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.92616
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.270962
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.42566
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.602358
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.785027
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.983809
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.200878
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.438828
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.700757
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.990419
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.312391
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.672313
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.048863
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.389153
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.799307
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.29013
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.738085
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54516
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52978
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73322
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.38855
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.06749
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62475
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.291028
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.450966
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.626275
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.811004
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.012116
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.231843
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.472832
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.738266
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.031996
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.358727
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.724266
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.101813
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.447515
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.864816
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.117697
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.840393
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67655
Ö (382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.68927
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90783
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76732
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34711
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.95248
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.311347
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.47842
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.650513
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.837342
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.040834
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.263269
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.507366
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.776385
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.07428
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.405887
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.777192
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.156027
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.507318
(382.22, 10.82, 321.92) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.931854
