¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
— (412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.650428
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.37398
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.236574
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.1328
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.085374
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.041529
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.03351
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.034802
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.058649
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.104993
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.171525
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.277324
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.443871
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.80085
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49833
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38443
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.73472
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.80919
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.83499
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.86492
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.89902
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.93732
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 20.97986
(412.69, 12.50, 330.96) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 21.02668
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.141235
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.557954
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.021461
(412.69, 12.50, 330.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.540052
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.759118
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.422379
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.268977
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.164597
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.109108
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.065111
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.051261
(412.69, 12.50, 330.96) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 9.052609
