¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.62282
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.08735
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684099
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.051462
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.465755
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926846
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442998
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01408
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5321
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09736
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7291
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.75473
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92616
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.12717
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 14.98247
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 15.10805
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 15.15635
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 15.14087
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 15.05616
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.87971
(444.36, 14.31, 266.83) (432.71, 8.60, 237.80) (2.79, 1.85, 2.11) Tools 13.90917
(444.36, 14.31, 266.83) (432.24, 8.60, 233.95) (2.32, 1.85, 2.92) Tools 18.34492
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.68392
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.73559
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.58726
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.19179
(444.36, 14.31, 266.83) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 17.22101
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.676392
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041542
(444.36, 14.31, 266.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.454739
