¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577701
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875603
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.204556
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.55961
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.952857
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.400655
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.903693
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.474571
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.13468
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89622
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.78859
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87886
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15727
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.75749
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.71576
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.71424
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.05271
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297534
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.564335
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.861486
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.189023
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542442
(441.17, 14.92, 255.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.933761
