¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.379052
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915718
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.515686
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.21553
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03608
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00257
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14329
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06114
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13418
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.96462
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.9269
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.5019
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.740078
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.001034
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288129
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.605428
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.95788
(415.54, 13.49, 326.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351578
