¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Â(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036692
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444529
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897809
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.581433
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.558954
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.661744
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.535
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.51254
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 11.85687
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51205
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.40816
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.45319
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.52288
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86376
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.58277
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.93737
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.420771
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.614201
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.217386
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460512
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7248
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.013048
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.328615
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.6755
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046414
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.033314
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.007544
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 7.98349
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.011276
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.713382
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.41273
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 10.66059
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68478
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54013
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.44016
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4795
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55303
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86985
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60711
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.9663
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.424817
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.618562
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22306
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.46669
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.73152
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020386
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336687
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.68434
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.056441
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.049009
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.023187
Ê(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 8.406296
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.01236
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.48718
(398.29, 14.03, 247.67) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 9.689221
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9508
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71087
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56963
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4738
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50777
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57987
(398.29, 14.03, 247.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87819
