¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01147
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.66651
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.39339
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.20134
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12037
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 11.64859
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.69891
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.67718
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.65761
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.64019
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.64378
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.66171
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.68179
(431.29, 10.21, 363.26) (405.53, 2.13, 365.76) (8.54, 3.10, 4.62) Truck 10.70404
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611861
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818409
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036428
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.273726
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.532084
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.814019
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.113151
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.449273
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820335
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.232844
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.691813
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.205889
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.776602
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38183
(431.29, 10.21, 363.26) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96029
