¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.325399
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.654444
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019583
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418793
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.857027
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34012
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.4575
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.40485
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.35473
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.622612
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.584791
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.548961
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.51508
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.483115
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.453032
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.424797
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.398382
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.37376
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.350904
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.43399
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.822602
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.219522
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.453425
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706981
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982664
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283479
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61395
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.977957
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337057
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.673777
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040644
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.441831
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.882324
(434.74, 13.84, 289.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36803
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.47784
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.42502
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.37475
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.639241
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.601304
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.565359
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.53137
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.4993
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.469116
(434.74, 13.84, 289.72) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.440784
