¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.005134
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231563
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477072
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.674935
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87875
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096843
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.33069
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581966
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.852704
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.145084
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.461857
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853405
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.530619
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36288
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35684
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99307
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01025
(343.50, 7.05, 367.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.60732
