¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ (421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.63814
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.62593
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.61678
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.61069
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.60764
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.60763
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.61067
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627683
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910505
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220004
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560037
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.935361
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.351551
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.826969
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.413653
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.365149
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.341925
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.320247
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.300135
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.281543
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.264469
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.248878
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.234745
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.222091
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.210877
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.201102
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.192754
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.185818
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.180303
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.197545
(421.70, 14.88, 245.63) (444.58, 8.94, 252.13) (0.81, 2.16, 0.81) Human 7.289182
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.4721
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.47195
(421.70, 14.88, 245.63) (453.22, 9.03, 254.33) (2.56, 2.61, 2.56) Tools 15.47482
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623755
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.906222
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215303
(421.70, 14.88, 245.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554884
