¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720356
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243079
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.829575
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47821
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22082
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07922
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08266
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2709
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43467
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.22393
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69968
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32686
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.2037
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85015
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.05843
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425768
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.712445
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.020642
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360005
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.735431
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720997
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.243801
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833634
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48284
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22616
(349.22, 6.97, 366.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08228
