°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¥(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.175841
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.2573
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.356482
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.496231
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.644613
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.802384
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.970422
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149702
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.341415
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546732
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718166
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851235
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.991054
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119288
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.237018
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.360155
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489088
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.624092
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765632
(422.66, 14.72, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.914053
