¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.783057
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.00263
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.240783
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499986
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782948
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.093174
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434666
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.812264
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.225273
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679817
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.189464
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.76469
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43627
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2373
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0807
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9412
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.7749
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82512
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.49149
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.45634
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.42452
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.39602
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.37081
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.34885
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.33014
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.223605
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.399077
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.587876
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.791538
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.011798
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.250744
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.510803
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.794829
(420.08, 8.47, 364.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.106178
