¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.520165
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.063581
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.683053
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41059
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11375
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2304
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59454
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.48409
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38194
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.291605
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.571164
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882661
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226636
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608645
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036008
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.516001
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.058849
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.677638
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16415
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.10341
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.21804
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57531
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41369
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.0556
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289869
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.568751
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.879906
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.223587
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605151
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.032093
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.511587
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.05384
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.671896
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15487
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09247
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.20496
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5549
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35401
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.77073
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.288036
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.566209
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876997
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.220365
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601458
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.027959
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.506926
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.048545
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35256
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14505
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0809
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19111
ö(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53342
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.3105
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48646
(436.73, 13.98, 295.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286108
