¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
˜(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.84239
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.57841
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.17774
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.21719
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.16782
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.19477
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.19035
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.19109
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.382873
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.5447
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.720562
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909151
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.111835
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.330204
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566039
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883536
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.340536
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.987034
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538466
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070222
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.687567
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46432
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.498
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51465
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65627
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0303
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71539
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83015
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.56235
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) UnKnown 24.81669
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.60826
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.59169
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.76423
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 23.52514
(380.83, 7.42, 345.45) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 24.36146
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.383017
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.54615
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.722116
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.910825
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113626
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.332127
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.568134
(380.83, 7.42, 345.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.865664
