¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31179
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4106
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.66728
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.27085
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.24638
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.27334
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59125
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.64928
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.869919
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.100961
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.349172
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616985
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.912476
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241725
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60095
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.005822
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.466134
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.972653
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16647
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81823
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54101
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36985
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.32978
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42621
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.68573
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.23353
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.20912
(409.59, 14.31, 244.13) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 15.60217
(409.59, 14.31, 244.13) (385.60, 7.17, 266.02) (0.46, 0.49, 3.98) Tools 19.85514
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.6298
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.871737
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103501
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352505
(409.59, 14.31, 244.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.620621
