¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
§(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.857546
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.844063
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.832338
(338.53, 7.60, 336.72) (319.87, 0.63, 315.95) (1.48, 1.29, 1.46) Tools 14.43041
(338.53, 7.60, 336.72) (318.44, 0.63, 315.68) (1.34, 1.29, 1.31) Tools 16.03758
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.928291
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.085998
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.255202
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.437165
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.63328
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.845277
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.075106
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324977
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.597675
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.896345
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.224809
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.587639
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.981235
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370466
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80137
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280983
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812412
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.863763
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.839817
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.817715
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.797432
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.77895
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.762252
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.747318
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.734134
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.72269
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.465717
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.457025
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.926301
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.083891
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.252927
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.43473
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.630667
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.842443
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.072013
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321655
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594051
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.892337
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220389
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582793
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.972093
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.360347
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.790229
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268548
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.801267
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.755715
°(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.732194
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.710492
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.690585
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.672458
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.656089
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.641464
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.62857
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.617389
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.053142
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.051519
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.924525
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.081961
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.250905
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.432505
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628276
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.839873
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.069204
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318583
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590667
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888665
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.216363
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578337
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.963554
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350946
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.779787
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.256927
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.722306
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.651959
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.628842
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.607517
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.587971
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.57018
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.554127
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.539794
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.52717
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.554543
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.900409
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.891854
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.922892
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.080195
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.249028
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.43047
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.626098
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.837512
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.066675
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315797
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.587668
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.885354
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.212707
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574294
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955606
²(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.342223
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.770118
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.246152
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645727
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.552294
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.529558
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.5086
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.489393
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.471923
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.456169
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.442116
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.429751
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.657563
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.752697
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.745026
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.921425
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.078629
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.247324
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.428662
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.624148
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.835392
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.064363
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.313321
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584942
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882366
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209438
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570654
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.94828
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334141
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.761147
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.197028
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.571515
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.704643
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.499002
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.413565
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.394685
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.37752
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.362049
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.430117
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.546058
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.664905
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.655727
(338.53, 7.60, 336.72) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 8.648255
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.920112
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.077254
(338.53, 7.60, 336.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.245817
