¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70286
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70741
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.00771
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.59588
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129655
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.37179
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.606571
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850354
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114256
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.40933
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.7117
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.041434
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.39969
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.768852
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.191637
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.634441
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08946
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.6115
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28345
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95719
(426.87, 9.97, 362.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73494
