¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ú(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.250003
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.860976
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.095756
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351382
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630785
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.942858
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293028
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.681982
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116375
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.604649
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137879
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.7386
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4398
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.789932
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.757814
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.730368
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.712372
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.702905
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.610106
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.598972
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.589732
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.870824
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.50669
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.98961
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.98866
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.99199
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.99962
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.049577
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.239205
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.444596
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.080504
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.334815
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.612629
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921659
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.269506
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655802
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.087091
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571648
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.103032
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.698934
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.815308
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.7781
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.743065
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.715882
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.696996
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.688649
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.602464
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.591338
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.582107
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.757303
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.49834
×(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.49438
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.039688
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.228509
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.431142
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065469
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.318384
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594652
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.900658
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246262
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.629913
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058111
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539006
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.068674
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.659849
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.807917
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.771135
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.736518
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.709437
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.690368
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.68251
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.596702
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.585585
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.57636
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.646529
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.65341
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48809
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48619
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.53627
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.029891
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.217912
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.417831
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050596
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.302188
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576929
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87986
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.223283
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.60434
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.029469
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.506764
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.034807
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.621291
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31359
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.772037
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.738022
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.712099
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.694024
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.684288
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.592817
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.581707
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.572484
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.565143
È(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.6491
(397.00, 14.19, 247.02) (361.03, 7.78, 263.46) (1.35, 1.29, 1.38) Tools 24.35295
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48194
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.48208
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.439346
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.020187
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.20576
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.404666
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.620518
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.286167
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55943
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85926
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.200521
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.579016
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.001204
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.474924
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001429
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.583359
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27255
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.776721
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.747691
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.720719
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.704191
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.693143
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.590808
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.579699
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.570479
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.563139
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.64687
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 10.47989
(397.00, 14.19, 247.02) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 9.437368
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.010578
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.193737
(397.00, 14.19, 247.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.391649
