¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.79411
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.71825
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.923092
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.155498
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.408182
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68384
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985711
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.317654
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.684263
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091204
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547534
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080257
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.685892
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38152
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14445
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03096
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0734
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31672
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.75084
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5206
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.7346
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.63871
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917851
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149803
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.401966
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.677068
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978267
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309456
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675198
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.081136
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.536158
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.069597
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.676163
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36485
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1252
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00844
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04677
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28471
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78564
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.47482
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67566
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.56002
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.912638
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144125
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.395789
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.67033
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.970883
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301316
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666172
(380.85, 7.41, 344.95) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071069
