¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
é(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.106639
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.249802
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.404195
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.571155
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.752234
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.949258
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.616449
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.866668
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.141475
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.444605
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.780609
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155055
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.574852
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.048599
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.609153
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.265163
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.982761
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78233
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.42122
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.516337
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.617423
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.72524
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.840454
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.963818
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.096197
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.238578
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.392101
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.558085
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.738067
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.933849
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.599176
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.848917
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.122002
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.423124
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756781
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.128501
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545022
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014884
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564589
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.213912
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.931455
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72246
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.41451
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.509028
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.609651
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.716961
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.831617
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.954368
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.086066
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.227691
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.380371
æ(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.545412
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.724333
(377.18, 16.44, 289.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.918915
