¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 10.93083
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.655403
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 6.932392
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.164386
(442.44, 14.40, 262.77) (444.99, 7.47, 282.25) (1.89, 1.40, 1.45) Tools 7.152366
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.987154
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404675
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.867466
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386175
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971373
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63661
(442.44, 14.40, 262.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38578
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.50908
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.47402
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.44139
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.41117
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.38332
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.35781
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.33462
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.31373
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.29512
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.27876
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.26464
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.25274
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.24306
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.23559
(442.44, 14.40, 262.77) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 11.23031
