¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.759963
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.136014
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400393
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.682513
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.994789
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36353
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76269
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19607
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62408
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98445
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.224
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47585
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74081
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0199
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31409
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.64546
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22268
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85394
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.941892
(416.84, 13.06, 328.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.308578
