¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93965
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84492
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.879
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.03771
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.01988
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.00483
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.99254
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.98299
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.97618
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.97209
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.97073
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.9721
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.97619
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 13.98301
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.911214
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.038695
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.174684
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.319326
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.521922
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.742192
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981974
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.251714
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571542
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.927259
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.490315
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.642496
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30352
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0805
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.91501
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81639
(332.13, 7.28, 369.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8441
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.44405
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.42579
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.41039
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.39782
(332.13, 7.28, 369.77) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 14.38807
