¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969636
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.23983
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.533346
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.853261
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.187327
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.538381
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.922706
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.345165
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27677
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.76841
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25575
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79171
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.405
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99903
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61639
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32366
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.31148
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.35339
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.83067
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.87116
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.664114
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.847749
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044909
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257087
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486015
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.71875
(351.42, 9.26, 316.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.968128
