¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4968
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47902
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76596
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.56877
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16283
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.884912
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.027174
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.180326
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.35177
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.531097
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.716798
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916596
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132104
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.365193
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.630522
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924413
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.247044
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.099521
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.516584
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.980761
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500398
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08596
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75084
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.5863
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58471
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90213
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89033
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.65722
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.890874
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.03352
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.190652
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.362842
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.539796
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.726131
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926633
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.142926
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.376894
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.649431
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.945102
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269775
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.627852
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.551108
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019258
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543601
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13473
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82138
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6762
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69336
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04216
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28283
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.897074
Ÿ(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.040119
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.201237
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.374193
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.54882
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.735812
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.937045
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.154154
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.394565
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.668832
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966335
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.29311
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.654671
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.58655
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.05878
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587933
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18648
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89383
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76074
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80513
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.18616
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.69583
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.90351
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.050149
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.212079
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.383382
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.558168
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.745843
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947835
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.165792
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414084
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.688728
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.988116
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.317054
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.682413
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088343
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099349
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633484
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25134
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96817
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84745
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92003
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.36732
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12455
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.910186
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.060523
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.223183
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.392419
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.567845
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.756226
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.959006
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.177841
š(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.433835
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.709124
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010448
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.341613
(332.12, 6.62, 313.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.710858
