°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30307
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.01103
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.97136
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.93536
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.90298
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.8742
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.84898
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.8273
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.80915
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.79449
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.78333
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.77564
(342.36, 7.02, 369.65) (319.82, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.77143
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505839
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.794329
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114563
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.467637
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.861461
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.348908
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.797557
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.334832
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.948249
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57617
(342.36, 7.02, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37869
