°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308912
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.887903
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53022
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24841
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.11616
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19473
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27778
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.65049
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90671
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30176
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.1144
(373.98, 7.06, 353.55) (352.17, 1.35, 373.45) (0.81, 2.16, 0.81) Human 20.41443
(373.98, 7.06, 353.55) (352.17, 1.35, 373.45) (0.81, 2.16, 0.81) Human 20.33997
(373.98, 7.06, 353.55) (352.17, 1.35, 373.45) (0.81, 2.16, 0.81) Human 20.33207
(373.98, 7.06, 353.55) (352.17, 1.35, 373.45) (0.81, 2.16, 0.81) Human 20.32873
(373.98, 7.06, 353.55) (352.17, 1.35, 373.45) (0.81, 2.16, 0.81) Human 20.32998
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.523279
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.711237
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913637
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132152
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.368727
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.625631
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.905536
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.211599
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547582
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918043
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323947
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.782663
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297575
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.875099
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51476
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23068
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08781
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17176
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23983
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.29457
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88597
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87463
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.69619
(373.98, 7.06, 353.55) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 23.51999
(373.98, 7.06, 353.55) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 23.70879
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.519599
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.70731
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.909365
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.127562
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.363753
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.620211
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.899642
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205139
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.540493
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910214
ã(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314657
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.768376
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283487
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86279
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49991
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21374
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06024
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14265
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20394
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95497
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.893
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85611
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32212
(373.98, 7.06, 353.55) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 24.14626
(373.98, 7.06, 353.55) (352.06, 0.30, 378.21) (1.97, 0.60, 4.08) Tools 24.2166
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.516057
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.703502
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.905296
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.12315
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.358975
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.615021
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.893978
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19895
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533676
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902693
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.305764
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.754514
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.267929
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847315
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48566
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19748
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03353
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11148
(373.98, 7.06, 353.55) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17006
