¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 17.68894
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 17.66195
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 17.63847
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 17.61849
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.66501
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.65205
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.64256
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.63651
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.63389
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.63472
(337.79, 7.13, 328.05) (311.66, 3.15, 305.00) (1.54, 1.43, 1.50) Tools 21.49003
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647848
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799437
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.960577
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231466
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611869
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.043216
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56391
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190879
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.850368
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.69199
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47876
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20929
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.05188
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03417
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19383
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58327
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.27802
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 18.17358
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 18.1522
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 18.13441
(337.79, 7.13, 328.05) (314.37, 0.43, 306.34) (1.42, 1.43, 1.38) Tools 18.12017
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 18.003
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.99787
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.99626
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 17.99815
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 18.00356
(337.79, 7.13, 328.05) (314.37, 1.79, 306.34) (1.48, 1.43, 1.52) Tools 18.01248
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.643997
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795321
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.956179
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.247716
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.630245
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.064129
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.560375
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163321
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865119
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.709729
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47388
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20368
(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.04537
©(337.79, 7.13, 328.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02654
