¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76874
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.76776
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.78064
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.7974
(418.77, 13.56, 326.34) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.933133
(418.77, 13.56, 326.34) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.926247
(418.77, 13.56, 326.34) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 3.920148
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.457951
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.486712
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.516733
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.565048
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.629888
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.697526
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.786064
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 4.93113
(418.77, 13.56, 326.34) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 5.223136
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10066
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31148
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88153
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29258
(418.77, 13.56, 326.34) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.73564
