¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.89234
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.04866
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.96592
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 20.96493
(375.00, 9.70, 318.57) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 19.8877
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.132969
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.34859
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551074
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.768282
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.001756
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267242
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584504
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.870747
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.2112
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.64992
(375.00, 9.70, 318.57) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 16.36037
(375.00, 9.70, 318.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.53418
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 18.70879
(375.00, 9.70, 318.57) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 19.1952
