¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‹(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.969534
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.566089
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97471
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85404
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88033
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07855
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.35801
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.32972
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.31492
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.21051
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.2005
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.19309
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 14.30141
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.06568
(399.47, 14.31, 244.35) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 13.06598
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.936334
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.108744
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.294703
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.495823
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.71465
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.952878
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212015
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.496062
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.807034
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.147576
(399.47, 14.31, 244.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.530038
