¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338184
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.613379
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911606
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.235802
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.596766
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001738
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45742
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971392
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54662
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19459
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8588
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5692
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98238
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68596
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73874
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95689
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45558
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.02486
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.096215
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.3318
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.606468
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.904079
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.227636
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589454
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.993657
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446461
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959153
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53288
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17368
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.80558
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50924
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3832
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.77183
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6741
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.83706
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.30463
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.74978
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.095979
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325561
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.599693
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896788
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219692
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582233
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.985749
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.435582
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.947047
(385.38, 11.79, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51929
