°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ö(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.71687
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.54326
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.53682
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.5334
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.53302
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.53567
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.54135
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.661296
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.743711
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.969923
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215944
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.483752
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.77695
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099373
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.454104
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.847667
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.28681
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.779829
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337248
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974011
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.70622
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32043
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.39795
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.68833
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.63736
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.63097
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.62764
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.62736
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.63012
(422.65, 14.73, 249.45) (399.60, 7.53, 238.59) (1.24, 1.54, 1.87) Tools 15.63593
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.679089
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744516
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.970797
(422.65, 14.73, 249.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.216215
