¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.63338
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.618289
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826694
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.052383
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.297535
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.56472
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.319753
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.658795
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.020508
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.41979
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.862804
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.373875
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.949504
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60269
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34185
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20684
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.03298
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.99779
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.96838
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.95163
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.85151
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.8383
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.82743
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 12.76373
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.86066
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.68353
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.6842
(401.01, 14.02, 248.17) (374.38, 9.33, 260.09) (4.57, 3.83, 9.67) Truck 11.68715
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615899
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.824111
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049582
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.294488
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.560707
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851501
(401.01, 14.02, 248.17) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652727
