¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514224
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.882703
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290934
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.745498
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.254718
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828957
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48133
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17662
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.96409
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8659
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84988
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00032
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17172
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11425
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.14619
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18874
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.85335
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.92386
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.96492
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.185888
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.44611
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.730557
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.04281
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.892538
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.301814
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.757689
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.268402
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.844442
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49883
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18856
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97778
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88049
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87093
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.00682
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17924
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33292
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27834
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.36404
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.85994
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.12335
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.25403
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191883
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.452652
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737724
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051066
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902302
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.31265
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.76979
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282012
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.859846
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50934
…(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2005
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99149
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89146
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89223
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01383
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18745
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45505
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.41438
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63416
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.71605
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.32818
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.53163
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.197834
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.459148
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.74484
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059263
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.406801
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.323419
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781807
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.295532
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.875149
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5198
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21246
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00524
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90262
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9138
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02144
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20712
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48263
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.55449
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.91357
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.73846
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.60296
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.8005
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.203743
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.465598
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.751907
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.0674
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.415798
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.334103
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793721
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308944
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.890362
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53032
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22445
(413.27, 14.82, 313.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01902
