¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.62071
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.595515
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.572135
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.568852
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.643185
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.720533
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.908022
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.87236
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.89649
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.99999
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 11.29982
(368.26, 7.21, 350.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 13.32982
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.47379
(368.26, 7.21, 350.79) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 23.46086
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.45252
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.44876
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.44957
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.227426
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470495
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.734646
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022732
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338078
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.674018
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918508
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.180701
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.462568
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.668557
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.541473
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.516514
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.493354
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.500422
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.57341
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.649363
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.852777
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.8249
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.81385
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.89842
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 11.00399
(368.26, 7.21, 350.79) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 13.24947
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.91696
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.90376
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.89523
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.89137
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.89216
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.229537
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472784
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737175
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.025455
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.341045
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.663194
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.906954
Ï(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168333
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.449278
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.572018
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.465314
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.440584
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.417633
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.434498
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.506204
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.580825
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.799384
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.77994
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.76891
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.80067
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.90424
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 11.22017
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 24.38202
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 24.36854
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 24.35981
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 24.35584
(368.26, 7.21, 350.79) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 24.35662
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.231712
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475112
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.739697
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.028254
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344085
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.652918
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895934
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156534
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.434994
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.479637
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.392123
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.367609
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.344861
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.371002
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.441483
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.514832
(368.26, 7.21, 350.79) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 8.747794
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.73743
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.72642
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.71752
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.80825
(368.26, 7.21, 350.79) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.91401
(368.26, 7.21, 350.79) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.8705
(368.26, 7.21, 350.79) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.81654
(368.26, 7.21, 350.79) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.80762
(368.26, 7.21, 350.79) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.8437
(368.26, 7.21, 350.79) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.84446
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.232254
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.477466
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.74223
(368.26, 7.21, 350.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031047
