¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 15.47197
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 15.56997
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 15.58877
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 15.52919
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 15.3653
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 14.22694
(400.21, 14.05, 246.70) (429.68, 8.60, 237.54) (3.13, 1.85, 2.73) Tools 14.45575
(400.21, 14.05, 246.70) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.88389
(400.21, 14.05, 246.70) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.86207
(400.21, 14.05, 246.70) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 18.96012
(400.21, 14.05, 246.70) (433.21, 9.89, 233.71) (2.32, 1.85, 2.92) Tools 19.22948
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.642398
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.925948
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236242
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577236
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.948762
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.344852
(400.21, 14.05, 246.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.784277
