¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³ (372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.60473
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79364
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43958
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.48125
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.97301
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.18301
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.559046
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.695409
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.841154
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.997242
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.164771
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.344999
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.539381
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.749598
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.97761
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.225432
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.499527
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.809017
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.15761
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.550706
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.995559
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.501591
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.079528
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.724596
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.47053
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.3428
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.37625
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.61981
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.82445
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.47765
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.52531
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.03258
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.24801
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.557409
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.693664
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.83929
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.995246
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.16263
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.342697
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.536899
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.746914
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.974699
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.221806
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.498227
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.809247
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.158701
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.552096
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.996781
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.50229
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.080846
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.733063
² (372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.48036
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.35435
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.39002
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.6365
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.85742
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51842
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.57278
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.09661
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.32106
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.555965
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.692125
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.837646
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.993488
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.160743
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.340669
(372.51, 8.81, 336.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.534712
