¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.97406
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42931
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.7528
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.82533
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.0423
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276057
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.528649
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803787
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.104618
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.434784
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.798745
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.201802
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.650633
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.144004
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696136
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32139
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03511
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85734
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78156
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77358
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95805
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42183
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.83071
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3252
(439.45, 13.91, 282.20) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.043578
