¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.48626
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.60495
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.72892
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.751
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.93659
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.8441
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.190798
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.43661
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09473
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.779364
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49224
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29785
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20864
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.14232
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16299
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23901
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42374
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77858
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1011
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.32434
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42642
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53335
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6454
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17832
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89826
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.79113
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241996
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502778
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172066
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.828388
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54897
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36769
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25815
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19991
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24557
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30467
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49817
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.78152
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.10452
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59743
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17265
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.29466
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.91108
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52843
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.18484
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.292905
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.841945
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.244002
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.876946
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60519
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43718
¥(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30722
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25699
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.32833
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37038
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57485
(401.43, 12.67, 328.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79623
