¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
„(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.057134
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.440533
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.862528
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.336449
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.869486
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.498144
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.23487
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10441
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03553
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29574
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82917
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 15.03176
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.99759
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.96648
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9384
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.91334
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.89126
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.87213
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.85595
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.84269
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.83235
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.82491
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.405202
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.616943
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.846562
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.099947
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381411
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.685513
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.02793
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.407548
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.825505
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.294596
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.821965
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.442515
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16867
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02463
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93215
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.17128
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.67641
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.9102
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.87641
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.84564
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.81789
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.79313
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.77132
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.75244
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.73648
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.72343
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.71326
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.70598
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.388787
ç(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.59913
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.827136
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.078722
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358088
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659475
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.998957
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.374893
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.788852
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.253205
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.775002
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.387493
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10327
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94592
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94387
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04909
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52672
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.79348
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.76004
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.72961
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.70217
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.67769
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.65614
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.6375
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.62175
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.60889
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.59889
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.59175
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.372492
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.581453
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.807865
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.057652
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334938
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.633675
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.970219
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.342566
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.752571
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.212277
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.728592
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.333075
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03867
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86826
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.85156
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92908
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38002
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.68143
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.64833
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.61822
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.59107
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.56686
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.54556
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.52715
Ş(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.51161
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.49893
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.48909
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.48209
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.35632
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.563885
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.788753
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036732
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.311965
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.608114
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.941718
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.310567
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.716663
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171816
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.682738
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.279261
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.974853
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.79167
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76078
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81121
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23623
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.5739
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.54113
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.51132
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.48445
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.4605
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.43944
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.42124
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.4059
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.39339
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.38371
(342.39, 7.24, 369.89) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 14.37684
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.340273
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546458
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.769802
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.01597
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.289174
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.582794
(342.39, 7.24, 369.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.913458
