¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.133134
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.575743
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.071167
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.629335
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2785
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.02767
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.66229
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70343
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98793
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.96795
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.79563
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.76363
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 14.92642
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.30112
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215752
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470058
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.747433
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.051094
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383245
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.745368
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.144709
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588658
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.08567
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.647243
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30053
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.05312
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92685
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73421
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.03351
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.30215
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.0797
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.04694
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.1914
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.5365
(333.77, 7.08, 381.89) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 23.44187
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.223422
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478411
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.756562
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.061106
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.392909
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.756046
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.156306
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.601605
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.10021
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.66608
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32259
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0786
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.95272
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.76516
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07922
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.65542
¼(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.37796
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.3444
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.46871
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.7814
(333.77, 7.08, 381.89) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 24.55124
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231084
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.486756
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765684
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.071115
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.402582
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.766737
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167933
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.614582
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114788
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.684942
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34468
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.10412
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97815
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9783
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.12502
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.02928
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.6914
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.65699
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.75913
(333.77, 7.08, 381.89) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.03629
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.238741
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.495096
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.774799
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.081117
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.412266
(333.77, 7.08, 381.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.777243
