¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
€ (416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.30176
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82259
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.38586
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.97373
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.05233
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.70006
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.71034
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.598104
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.588659
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.59057
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.608346
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.627337
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.64756
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.694434
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.748608
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.804964
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.908773
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 6.026238
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 6.285863
(416.26, 12.93, 329.38) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 8.182808
(416.26, 12.93, 329.38) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 8.687985
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84132
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37319
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.94781
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94857
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.77653
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.590589
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.581131
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.581874
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.599555
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.618448
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.638571
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.683692
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.737619
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.793721
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 5.89409
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 6.010919
(416.26, 12.93, 329.38) (415.54, 8.50, 306.61) (3.22, 2.30, 3.03) Tools 6.259087
(416.26, 12.93, 329.38) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 8.149529
(416.26, 12.93, 329.38) (414.86, 8.53, 304.60) (3.44, 2.50, 3.37) Tools 8.607858
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82078
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3511
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92402
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84536
(416.26, 12.93, 329.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.85792
