¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
æ(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.697591
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.787947
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.019573
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.50583
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.61643
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.90316
(332.27, 7.44, 364.77) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.56665
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.65363
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.40982
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.39551
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.53845
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.87677
(332.27, 7.44, 364.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.69259
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.960887
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.979321
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.998709
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.026148
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.110512
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.199322
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.292912
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.452724
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.52813
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.705515
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.721316
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.810759
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.903806
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.100418
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.433817
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.73228
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.99387
(332.27, 7.44, 364.77) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.28944
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.30844
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.9145
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.89958
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 12.99413
(332.27, 7.44, 364.77) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.35818
(332.27, 7.44, 364.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.56076
(332.27, 7.44, 364.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.75734
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.978048
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.996729
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.016372
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.037273
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.12216
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.211531
(332.27, 7.44, 364.77) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.305722
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.510396
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.565613
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.745199
(332.27, 7.44, 364.77) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.936275
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 8.92836
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.024246
Õ(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.183738
(332.27, 7.44, 364.77) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 9.523586
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 11.85252
(332.27, 7.44, 364.77) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 12.08754
(332.27, 7.44, 364.77) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.02445
(332.27, 7.44, 364.77) (351.96, 0.49, 341.67) (6.63, 1.16, 1.97) Tools 15.44435
