¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Í(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.394626
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653943
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859382
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.059301
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27268
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50088
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.356445
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.283408
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.259072
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.236306
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.231393
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.293171
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.35746
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.424355
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.657101
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.32065
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.17669
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.07152
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.01389
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.0073
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.00267
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.0729
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.18589
(366.49, 7.19, 350.42) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 23.25869
(366.49, 7.19, 350.42) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.25094
(366.49, 7.19, 350.42) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.24773
(366.49, 7.19, 350.42) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 23.17833
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.157363
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396204
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.655659
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84682
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.045937
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.258421
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.413274
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.252842
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.206272
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.1822
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.15968
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.167471
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.227985
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.290963
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.366952
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.607388
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.42781
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.16535
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.0604
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.959721
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.953142
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.94851
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.963972
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.07447
Ğ(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.31489
(366.49, 7.19, 350.42) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.63302
(366.49, 7.19, 350.42) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.62967
(366.49, 7.19, 350.42) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 23.55903
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.158835
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.397789
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648538
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834753
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.033092
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244729
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.310332
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.157511
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.132131
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.108313
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.08603
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.105836
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.165143
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.22687
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.321919
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.55928
(366.49, 7.19, 350.42) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 11.7586
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.16744
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.05139
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.950674
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.901482
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.896854
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.894158
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 9.96734
(366.49, 7.19, 350.42) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 10.07985
(366.49, 7.19, 350.42) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.03263
(366.49, 7.19, 350.42) (328.93, 1.25, 347.22) (1.46, 2.50, 0.44) Cabin 24.02911
(366.49, 7.19, 350.42) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 23.95714
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.160343
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.399448
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.637594
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.823133
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.020739
(366.49, 7.19, 350.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.231555
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.212052
(366.49, 7.19, 350.42) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 7.085985
