¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186185
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.510475
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.823535
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.651821
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.519648
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.483358
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.458133
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.434523
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.451212
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.49973
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.550365
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.675116
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.891264
(377.82, 7.13, 353.90) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.627764
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.714777
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.582009
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.454849
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.443788
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.435074
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.428019
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.519109
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.617695
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.878109
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616725
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.888018
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183995
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508048
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.779428
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.641319
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.509466
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.474629
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.449432
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.425848
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.443178
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.491567
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.542068
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.667566
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.883265
(377.82, 7.13, 353.90) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.600249
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.626228
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.495982
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.376377
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.366085
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.357449
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.350455
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.442253
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.539023
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.795086
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61484
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.88597
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181752
Ù(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505615
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.770549
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.632716
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.501125
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.467371
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.4422
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.418638
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.436412
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.484693
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.535084
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.661002
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.876311
(377.82, 7.13, 353.90) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.574573
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.54131
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.413462
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.301603
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.291403
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.282839
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.277006
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.368336
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.46337
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.715199
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.612941
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.883912
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.179503
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.50312
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.763618
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.626002
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.494615
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.461579
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.436426
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.412881
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.430909
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.479102
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.529403
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.655421
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.870399
(377.82, 7.13, 353.90) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.550715
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.459879
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.334308
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.229745
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.219629
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.211138
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.207502
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.297246
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.390629
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.638338
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.611006
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.881829
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177195
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500618
Ù(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.758629
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.621168
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.489927
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.457246
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.432106
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.408576
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.426665
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.474791
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.52502
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.650818
(377.82, 7.13, 353.90) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.865524
(377.82, 7.13, 353.90) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 9.528651
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.381794
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.258389
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.160694
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.150661
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.142238
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.140656
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.228889
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.320697
(377.82, 7.13, 353.90) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.564392
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609056
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.87968
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17489
(377.82, 7.13, 353.90) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.498091
