¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.982649
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.243478
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529479
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844284
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158984
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486823
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.847728
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246937
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690665
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.160707
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.645111
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18567
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79155
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34079
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.333793
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.537073
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.757672
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.997778
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260065
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547661
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.857281
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155269
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482731
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843234
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.241944
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.685091
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.163993
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.648742
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18974
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78597
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64906
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.345686
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.549986
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.771682
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.01305
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.276782
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.566019
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856363
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153395
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.47891
(417.87, 14.56, 314.54) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839043
