¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ê(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.14673
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58379
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.33814
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.50463
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.93462
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.56281
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03236
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67542
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.68948
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15199
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.59604
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.3518
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.5051
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.90803
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.46862
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.0218
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6601
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6728
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15492
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.60501
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36141
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.50109
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.87698
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37915
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00995
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.64396
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65257
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15553
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61071
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36695
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.49262
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.80886
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.28532
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.99683
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.62702
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.62883
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.15381
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61311
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36843
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.47969
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.73778
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.18724
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98246
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60929
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60164
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.151
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.61223
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.36584
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.46234
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.66441
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.08506
›(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96683
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59077
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57103
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.14539
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.60805
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.35917
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.44058
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.58879
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.95592
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94997
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.57148
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.53706
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13686
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.60059
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.42983
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.70755
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.511
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.81567
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.93189
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55143
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4998
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12544
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58052
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40299
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44137
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.4311
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.67367
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9126
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.53063
(369.62, 9.22, 322.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4593
