¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.78568
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.266015
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.460376
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.670783
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.899251
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.148149
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420282
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.718994
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.048297
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413063
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.826708
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.296001
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.828263
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.431678
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12778
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91294
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.82522
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90668
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2089
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.80682
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.84566
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.04374
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.40627
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.35782
(392.24, 7.52, 358.25) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 22.50413
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.46287
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.22126
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.22153
(392.24, 7.52, 358.25) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 23.59881
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.259435
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.453266
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.663078
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.890875
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.139013
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.41028
(392.24, 7.52, 358.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.707995
