¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79945
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91643
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03817
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16478
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29654
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43359
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27722
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 20.60136
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.774201
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.906949
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04713
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.195359
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.357923
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.531836
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.716927
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378569
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.31846
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.951601
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80294
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40071
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95894
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37024
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47673
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58057
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68869
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80116
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9182
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03997
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16662
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.29843
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4355
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64276
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 20.59185
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.805997
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.94038
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.082361
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.23632
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.402505
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.579107
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.767087
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.846894
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.347091
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.984371
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82498
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40822
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9708
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36612
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47273
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58369
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69264
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80519
ü(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92231
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04414
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1709
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30275
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43994
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.12421
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.58466
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.838549
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.974659
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.120498
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.279474
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.448175
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.627579
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.818568
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.384531
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.375721
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01712
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84644
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41646
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9992
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36413
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47073
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58161
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.697
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.81149
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92874
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05071
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1776
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30962
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44693
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66687
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.36494
(335.92, 7.49, 350.19) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.871916
