¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.728885
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.729802
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.731835
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.734989
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.739266
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.74467
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.751207
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.993934
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.958559
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.926529
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.901114
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.880177
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.861325
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.846868
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.833618
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.821558
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.836195
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.598598
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.579469
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.667833
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.677904
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.895698
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.748909
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.742122
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.73647
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.731944
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.728543
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.72626
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.725094
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.725046
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.726113
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.728299
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.731603
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.736031
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.741584
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.993407
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.958153
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.92446
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.899931
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.879815
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.860975
(329.35, 7.34, 376.69) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.846113
