¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ø(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997257
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.360386
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.764874
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.218082
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.72928
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.310261
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.976121
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74687
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64912
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.71945
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.86708
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46891
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.31765
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71223
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.72373
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.588242
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.733147
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.888477
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.055354
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.235088
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.429163
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.639347
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867638
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.116448
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388562
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.687421
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017043
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.38234
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.789332
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.245582
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760399
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.345702
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01693
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79428
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70491
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78608
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.2178
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.56209
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.43633
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.86851
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.92219
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.596541
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.742015
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.897964
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.065578
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.246102
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.441094
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.65223
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.881661
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131697
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405313
„(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705815
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037333
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.40485
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.814503
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.273816
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792326
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382147
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05887
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84308
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76239
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 12.47105
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.27984
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.65838
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.55916
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.02931
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.13683
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.605044
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.7511
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.907742
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.076039
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.257368
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.453251
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.66542
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.895994
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147372
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.422448
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.724642
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.058137
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.427971
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.840289
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302798
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.825149
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419588
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10199
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89328
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.79803
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.92984
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.50992
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75784
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.68626
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.19159
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.35955
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.61372
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.760403
(378.57, 8.12, 340.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.91769
